,name,gender,count
863,Alee,F,12
864,Aleea,F,11
865,Aleeah,F,5
866,Aleece,F,29
867,Aleecia,F,16
868,Aleeka,F,1
869,Aleen,F,43
870,Aleena,F,27
871,Aleene,F,6
872,Aleesa,F,23
873,Aleese,F,8
874,Aleesha,F,27
875,Aleeshia,F,1
876,Aleesia,F,7
877,Aleeta,F,11
878,Aleeya,F,6
879,Aleeyah,F,5
880,Aleeza,F,13
881,Alegandra,F,14
882,Alegra,F,21
883,Alegria,F,8
884,Aleia,F,22
885,Aleiah,F,4
886,Aleicia,F,11
887,Aleida,F,43
888,Aleigh,F,10
889,Aleigha,F,17
890,Aleighsha,F,1
891,Aleina,F,9
892,Aleisa,F,32
893,Aleise,F,1
894,Aleisha,F,33
895,Aleishia,F,2
896,Aleita,F,2
897,Aleiya,F,2
898,Aleiyah,F,2
899,Aleja,F,2
900,Alejandra,F,51
901,Alejandria,F,9
902,Alejandrina,F,45
903,Alejandro,F,28
904,Alek,F,2
905,Aleka,F,17
906,Aleksa,F,8
907,Aleksandra,F,29
908,Aleksei,F,2
909,Aleksey,F,1
910,Aleksi,F,1
911,Aleksia,F,1
912,Aleksis,F,2
913,Alekzandra,F,1
914,Aleli,F,1
915,Alely,F,1
916,Alena,F,51
917,Alencia,F,3
918,Alenda,F,7
919,Alene,F,51
920,Aleni,F,1
921,Alenia,F,1
922,Alenis,F,1
923,Alenka,F,1
924,Alenna,F,10
925,Aleria,F,1
926,Alero,F,1
927,Alesa,F,47
928,Alesandra,F,23
929,Alescia,F,7
930,Alese,F,25
931,Alesea,F,1
932,Alesha,F,40
933,Aleshea,F,8
934,Aleshia,F,40
935,Alesi,F,1
936,Alesia,F,51
937,Alessa,F,20
938,Alessandra,F,46
939,Alessandria,F,7
940,Alessia,F,22
941,Aleta,F,51
942,Aletha,F,51
943,Alethea,F,51
944,Aletheia,F,13
945,Alethia,F,51
946,Aletia,F,9
947,Aletra,F,2
948,Aletta,F,41
949,Alette,F,1
950,Alex,F,51
951,Alexa,F,51
952,Alexadra,F,2
953,Alexah,F,5
954,Alexanda,F,3
955,Alexander,F,46
956,Alexandera,F,19
957,Alexanderia,F,19
958,Alexandia,F,3
959,Alexandira,F,1
960,Alexandr,F,1
961,Alexandra,F,51
962,Alexandre,F,14
963,Alexandrea,F,30
964,Alexandreia,F,1
965,Alexandria,F,51
966,Alexandrina,F,20
967,Alexandrya,F,9
968,Alexann,F,1
969,Alexanna,F,2
970,Alexanndra,F,1
971,Alexanne,F,2
972,Alexarae,F,8
973,Alexaray,F,1
974,Alexas,F,12
975,Alexaundra,F,1
976,Alexaundrea,F,1
977,Alexaundria,F,7
978,Alexcia,F,23
979,Alexcis,F,4
980,Alexe,F,2
981,Alexea,F,7
982,Alexee,F,2
983,Alexei,F,3
984,Alexendra,F,1
985,Alexendria,F,3
986,Alexes,F,14
987,Alexeus,F,1
988,Alexey,F,1
989,Alexi,F,26
990,Alexia,F,51
991,Alexiah,F,1
992,Alexiana,F,1
993,Alexias,F,11
994,Alexica,F,4
995,Alexicia,F,2
996,Alexie,F,18
997,Alexies,F,3
998,Alexina,F,10
999,Alexine,F,13
1000,Alexious,F,5
1001,Alexis,F,51
1002,Alexisa,F,1
1003,Alexisia,F,1
1004,Alexismarie,F,3
1005,Alexisnicole,F,1
1006,Alexiss,F,12
1007,Alexius,F,18
1008,Alexix,F,5
1009,Alexiz,F,8
1010,Alexnadra,F,1
1011,Alexondra,F,4
1012,Alexondria,F,2
1013,Alexous,F,1
1014,Alexsa,F,13
1015,Alexsandra,F,31
1016,Alexsandria,F,11
1017,Alexsia,F,6
1018,Alexsis,F,22
1019,Alexsondra,F,1
1020,Alexsus,F,5
1021,Alexsys,F,5
1022,Alexuis,F,4
1023,Alexus,F,15
1024,Alexusia,F,1
1025,Alexuss,F,1
1026,Alexx,F,9
1027,Alexxa,F,9
1028,Alexxandra,F,1
1029,Alexxandria,F,1
1030,Alexxes,F,1
1031,Alexxia,F,1
1032,Alexxis,F,11
1033,Alexxus,F,8
1034,Alexxys,F,1
1035,Alexy,F,10
1036,Alexya,F,5
1037,Alexys,F,18
1038,Alexyss,F,7
1039,Alexyz,F,2
1040,Alexza,F,4
1041,Alexzandra,F,16
1042,Alexzandrea,F,10
1043,Alexzandria,F,15
1044,Alexzia,F,3
1045,Aleya,F,21
1046,Aleyah,F,5
1047,Aleyda,F,20
1048,Aleyia,F,1
1049,Aleyna,F,9
1050,Aleysha,F,11
1051,Aleysia,F,2
1052,Aleza,F,3
1053,Alezandra,F,3
1054,Alfa,F,5
1055,Alfanette,F,1
1056,Alfie,F,9
1057,Alfonso,F,16
1058,Alfreada,F,1
1059,Alfred,F,42
1060,Alfreda,F,51
1061,Alfredia,F,35
1062,Alfredo,F,37
1063,Alfreeda,F,2
1064,Alfreida,F,25
1065,Alfretta,F,6
1066,Alfrida,F,4
1067,Alfrieda,F,22
1068,Alga,F,1
1069,Algene,F,3
1070,Algeria,F,5
1071,Algie,F,4
1072,Alham,F,1
1073,Alheli,F,2
1074,Ali,F,31
1075,Alia,F,35
1076,Aliah,F,22
1077,Aliaha,F,1
1078,Aliana,F,18
1079,Alianna,F,7
1080,Aliayah,F,3
1081,Alica,F,48
1082,Alicai,F,3
1083,Aliccia,F,1
1084,Alice,F,51
1085,Alicea,F,38
1086,Aliceann,F,2
1087,Aliceia,F,1
1088,Alicemarie,F,1
1089,Alicen,F,29
1090,Aliceson,F,17
1091,Alicha,F,29
1092,Alichia,F,20
1093,Alicia,F,51
1094,Aliciamarie,F,2
1095,Alician,F,2
1096,Aliciana,F,3
1097,Alicianna,F,2
1098,Aliciya,F,1
1099,Alicja,F,7
1100,Alicya,F,3
1101,Alicyn,F,29
1102,Alida,F,51
1103,Alie,F,13
1104,Aliea,F,8
1105,Aliece,F,3
1106,Aliecia,F,6
1107,Alieen,F,1
1108,Aliena,F,9
1109,Aliene,F,12
1110,Aliera,F,1
1111,Aliesa,F,2
1112,Aliese,F,4
1113,Aliesha,F,28
1114,Alieshia,F,1
1115,Aliette,F,1
1116,Aliisa,F,1
1117,Alija,F,1
1118,Alijah,F,7
1119,Alijha,F,1
1120,Alika,F,23
1121,Alike,F,2
1122,Aliki,F,3
1123,Alima,F,11
1124,Alin,F,5
1125,Alina,F,49
1126,Alinah,F,1
1127,Alinda,F,40
1128,Aline,F,51
1129,Alinna,F,3
1130,Alis,F,14
1131,Alisa,F,51
1132,Alisabeth,F,14
1133,Alisah,F,11
1134,Alisan,F,12
1135,Alisande,F,4
1136,Alisandra,F,12
1137,Alischa,F,2
1138,Aliscia,F,25
1139,Alise,F,51
1140,Alisea,F,5
1141,Alisen,F,15
1142,Alish,F,1
1143,Alisha,F,49
1144,Alishah,F,3
1145,Alishea,F,23
1146,Alishia,F,37
1147,Alishya,F,3
1148,Alisia,F,50
1149,Aliska,F,1
1150,Alison,F,51
1151,Alissa,F,49
1152,Alissabeth,F,1
1153,Alissah,F,1
1154,Alissandra,F,8
1155,Alisse,F,11
1156,Alissha,F,4
1157,Alissia,F,27
1158,Alisson,F,20
1159,Alissya,F,1
1160,Alisya,F,1
1161,Alisyn,F,20
1162,Alita,F,51
1163,Alitha,F,6
1164,Alithea,F,5
1165,Alithia,F,6
1166,Alitia,F,1
1167,Alitza,F,3
1168,Alitzah,F,1
1169,Alitzel,F,1
1170,Alivea,F,1
1171,Alivia,F,27
1172,Alix,F,51
1173,Alixandra,F,18
1174,Alixandrea,F,9
1175,Alixandria,F,12
1176,Alixe,F,1
1177,Alixis,F,8
1178,Alixx,F,1
1179,Aliya,F,27
1180,Aliyah,F,25
1181,Aliyha,F,3
1182,Aliyiah,F,2
1183,Aliyyah,F,10
1184,Aliza,F,43
1185,Alizabeth,F,19
1186,Alizae,F,3
1187,Alizah,F,6
1188,Alizandra,F,1
1189,Alizay,F,3
1190,Alize,F,8
1191,Alizea,F,2
1192,Alizee,F,1
1193,Alizia,F,4
1194,Aljean,F,3
1195,Alka,F,11
1196,Alkeria,F,1
1197,Alla,F,22
1198,Allahna,F,1
1199,Allaina,F,9
1200,Allaire,F,1
1201,Allan,F,29
1202,Allana,F,51
1203,Allanah,F,8
1204,Allandra,F,2
1205,Allanna,F,8
1206,Allannah,F,1
1207,Allante,F,10
1208,Allaura,F,1
1209,Allayah,F,4
1210,Allayna,F,7
1211,Allayne,F,2
1212,Alle,F,6
1213,Allea,F,5
1214,Alleah,F,6
1215,Allean,F,20
1216,Allecia,F,21
